age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
65 and up,Female,Delaware,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,District of Columbia,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Florida,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Georgia,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Hawaii,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Idaho,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Illinois,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Indiana,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Iowa,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Kansas,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Kentucky,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Louisiana,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Maine,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,Maryland,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Massachusetts,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,Michigan,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Minnesota,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Mississippi,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Missouri,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Montana,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Nebraska,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Nevada,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,New Hampshire,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,New Jersey,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,New Mexico,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,New York,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,North Carolina,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,North Dakota,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Ohio,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Oklahoma,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Oregon,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Pennsylvania,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,Rhode Island,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,South Carolina,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,South Dakota,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Tennessee,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Texas,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Utah,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Vermont,95.44651408992132,2.087964725615501,2.465521184463188
65 and up,Female,Virginia,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Washington,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,West Virginia,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Wisconsin,96.33241259968746,0.9338804159137805,2.7337069843987414
65 and up,Female,Wyoming,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Male,Alabama,95.81759964744498,,4.182400352555021
65 and up,Male,Alaska,97.12315656803769,2.87684343196232,
65 and up,Male,Arizona,97.12315656803769,2.87684343196232,
65 and up,Male,Arkansas,95.81759964744498,,4.182400352555021
